Year,Course,Grade,value
2021,PHYS 100 Astronomy of the Solar System,B-,1
2021,PLSC 140 Comparative Politics,B+,1
2020,BSAD 350 International Business,A-,1
2020,BSAD 423 International Marketing,B+,1
2021,INTD 357 Globalization and Environment,B-,1
2021,CHIN 160 Chinese for Business & Travel,A,1
2021,BSAD 390 Selected Topics in BSAD,A-,1
2021,BSAD 310 Business Finance I,A,1
2017,ANTH 214 Peoples&Cultures of Lat Amer.,A,1
2021,ECON 301 Intermediate Microecon. Theory,C,1
2019,ECON 361 Environmental Economics,B,1
2019,ECON 365 Agricultural and Natural Res,A-,1
2016,BSAD 390 Advertising Principles,B,1
2016,ECON 300 Intermediate Macroecon. Theory,B+,1
2017,ANTH 290 Selected Topics in ANTH,C+,1
2017,EDUC 506 Learning and Learners,B-,1
2021,EDUC 507 MS Curr & Ped: Math & Science,B-,1
2021,EDUC 531 Asment of Stud w/ Excptnalts,A,1
2017,SOWK 373 Human Behav & the Social Envrn,B+,1
2017,SOWK 414 Soc Wrk Prac & Sem III,A,1
